"time","x","y","position","velocity","acceleration","jerk","heading"
0,242.326,28.2373,0,0,150,0,0
0.02,242.499,28.2373,0.173205,3,150,0,-0.000862583
0.04,242.672,28.2373,0.34641,6,150,0,-0.00172517
0.06,242.846,28.2373,0.519615,9,150,0,-0.00258775
0.08,243.019,28.2373,0.69282,12,150,0,-0.00345033
0.1,243.192,28.2373,0.866025,15,150,0,-0.00431291
0.12,243.421,28.2373,1.09471,18,150,0,-0.00608047
0.14,243.839,28.2372,1.51286,21,150,0,-0.0109386
0.16,244.257,28.2371,1.93102,24,150,0,-0.0157967
0.18,244.781,28.237,2.45505,27,150,0,-0.0247804
0.2,245.326,28.2367,3,30,150,0,-0.0345791
0.22,245.972,28.2362,3.64641,33,150,0,-0.0501597
0.24,246.658,28.2356,4.33237,36,150,0,-0.0690231
0.26,247.399,28.2345,5.07309,39,150,0,-0.0925451
0.28,248.211,28.233,5.88465,42,150,0,-0.123084
0.3,249.083,28.2309,6.75708,45,150,0,-0.159963
0.32,250.013,28.228,7.68717,48,150,0,-0.203551
0.34,251.002,28.224,8.67644,51,150,0,-0.254777
0.36,252.051,28.2189,9.72525,54,150,0,-0.315096
0.38,253.159,28.2121,10.8333,57,150,0,-0.385356
0.4,254.326,28.2035,12,60,150,0,-0.465601
0.42,255.559,28.1925,13.2333,63,150,0,-0.557956
0.44,256.85,28.1788,14.5243,66,150,0,-0.661513
0.46,258.197,28.1619,15.8718,69,150,0,-0.776495
0.48,259.608,28.1412,17.2829,72,150,0,-0.904967
0.5,261.078,28.1162,18.7525,75,150,0,-1.0447
0.52,262.608,28.0864,20.2825,78,121.753,0,-1.19456
0.54,264.189,28.0512,21.8646,79.915,6.77124,0,-1.35121
0.56,265.788,28.0113,23.464,80,0,0,-1.50598
0.58,267.388,27.9671,25.064,80,0,0,-1.65319
0.6,268.987,27.919,26.664,80,0,0,-1.78411
0.62,270.586,27.8675,28.264,80,0,0,-1.89199
0.64,272.185,27.8134,29.864,80,0,0,-1.96931
0.66,273.784,27.7575,31.464,80,0,0,-2.0105
0.68,275.383,27.7012,33.064,80,0,0,-2.00808
0.7,276.982,27.6457,34.664,80,0,0,-1.95142
0.72,278.581,27.5923,36.264,80,0,0,-1.85137
0.74,280.181,27.5423,37.864,80,0,0,-1.70829
0.76,281.78,27.497,39.464,80,0,0,-1.52218
0.78,283.379,27.4574,41.064,80,0,0,-1.30602
0.8,284.979,27.4241,42.664,80,0,0,-1.06869
0.82,286.579,27.3977,44.264,80,0,0,-0.817878
0.84,288.179,27.3784,45.864,80,0,0,-0.560419
0.86,289.779,27.3664,47.464,80,0,0,-0.303798
0.88,291.379,27.3614,49.064,80,0,0,-0.0524368
0.9,292.979,27.3634,50.664,80,0,0,0.189045
0.92,294.579,27.3719,52.264,80,0,0,0.419164
0.94,296.179,27.3867,53.864,80,0,0,0.63555
0.96,297.778,27.4073,55.464,80,0,0,0.837244
0.98,299.378,27.4334,57.064,80,0,0,1.02577
1,300.978,27.4645,58.664,80,0,0,1.19958
1.02,302.577,27.5003,60.264,80,0,0,1.35941
1.04,304.177,27.5404,61.864,80,0,0,1.50522
1.06,305.776,27.5843,63.464,80,0,0,1.63807
1.08,307.376,27.6318,65.064,80,0,0,1.75873
1.1,308.975,27.6825,66.664,80,0,0,1.86501
1.12,310.574,27.7359,68.264,80,0,0,1.96014
1.14,312.173,27.7918,69.864,80,0,0,2.03609
1.16,313.772,27.8496,71.464,80,0,0,2.10004
1.18,315.371,27.909,73.064,80,0,0,2.16127
1.2,316.97,27.9702,74.664,80,0,0,2.22021
1.22,318.568,28.033,76.264,80,0,0,2.27784
1.24,320.167,28.0974,77.864,80,0,0,2.33452
1.26,321.766,28.1634,79.464,80,0,0,2.3909
1.28,323.364,28.2309,81.064,80,0,0,2.44741
1.3,324.963,28.3,82.664,80,0,0,2.50448
1.32,326.561,28.3707,84.264,80,0,0,2.56253
1.34,328.16,28.4431,85.864,80,0,0,2.62196
1.36,329.758,28.5171,87.464,80,0,0,2.68303
1.38,331.356,28.5929,89.064,80,0,0,2.74602
1.4,332.954,28.6704,90.664,80,0,0,2.81147
1.42,334.552,28.7499,92.264,80,0,0,2.87914
1.44,336.15,28.8312,93.864,80,0,0,2.94915
1.46,337.748,28.9145,95.464,80,0,0,3.02154
1.48,339.346,28.9999,97.064,80,0,0,3.09586
1.5,340.943,29.0873,98.664,80,0,0,3.17172
1.52,342.541,29.1769,100.264,80,0,0,3.24811
1.54,344.138,29.2687,101.864,80,0,0,3.32408
1.56,345.736,29.3625,103.464,80,0,0,3.39795
1.58,347.333,29.4583,105.064,80,0,0,3.46923
1.6,348.93,29.5561,106.664,80,0,0,3.53542
1.62,350.527,29.6556,108.264,80,0,0,3.59576
1.64,352.123,29.7568,109.864,80,0,0,3.64963
1.66,353.72,29.8593,111.464,80,0,0,3.69659
1.68,355.317,29.9631,113.064,80,0,0,3.73676
1.7,356.913,30.0678,114.664,80,0,0,3.76891
1.72,358.51,30.1734,116.264,80,0,0,3.79475
1.74,360.106,30.2796,117.864,80,0,0,3.81501
1.76,361.703,30.3863,119.464,80,0,0,3.83048
1.78,363.299,30.4934,121.064,80,0,0,3.84249
1.8,364.895,30.6007,122.664,80,0,0,3.85156
1.82,366.492,30.7083,124.264,80,0,0,3.85878
1.84,368.088,30.8161,125.864,80,0,0,3.8647
1.86,369.685,30.924,127.464,80,0,0,3.87003
1.88,371.281,31.032,129.064,80,0,0,3.87533
