"time","x","y","position","velocity","acceleration","jerk","heading"
0,490.3,304.743,0,0,0,0,-180
0.02,490.126,304.742,0.173577,8.67887,433.944,21697.2,-179.998
0.04,489.953,304.742,0.347444,8.69331,0.721803,-21661.1,-179.995
0.06,489.778,304.742,0.522021,8.72887,1.7782,52.8197,-179.993
0.08,489.604,304.742,0.695887,8.69331,-1.7782,-177.82,-179.99
0.1,489.431,304.742,0.869465,8.67887,-0.721803,52.8197,-179.988
0.12,489.2,304.742,1.09962,11.5077,141.444,7108.27,-179.984
0.14,488.78,304.742,1.51964,21.0011,474.665,16661.1,-179.977
0.16,488.36,304.742,1.93966,21.0011,-2.46643e-07,-23733.3,-179.97
0.18,487.831,304.741,2.46944,26.4888,274.386,13719.3,-179.95
0.2,487.279,304.741,3.02079,27.5676,53.9412,-11022.2,-179.928
0.22,486.625,304.74,3.67545,32.7331,258.276,10216.8,-179.898
0.24,485.927,304.739,4.37271,34.863,106.496,-7589.01,-179.859
0.26,485.174,304.736,5.12558,37.6432,139.01,1625.68,-179.811
0.28,484.37,304.734,5.92961,40.2019,127.931,-553.933,-179.752
0.3,483.553,304.73,6.74726,40.8822,34.015,-4695.8,-179.684
0.32,482.731,304.725,7.5695,41.1124,11.5102,-1125.24,-179.607
0.34,481.907,304.719,8.39349,41.1993,4.348,-358.111,-179.524
0.36,481.081,304.712,9.21893,41.2719,3.62932,-35.934,-179.436
0.38,480.252,304.702,10.0484,41.475,10.1552,326.295,-179.334
0.4,479.421,304.692,10.8788,41.5189,2.1951,-398.006,-179.229
0.42,478.588,304.681,11.7118,41.6495,6.52901,216.695,-179.115
0.44,477.753,304.666,12.5471,41.7673,5.89157,-31.8721,-178.993
0.46,476.918,304.651,13.3826,41.7751,0.387576,-275.2,-178.867
0.48,476.079,304.633,14.2221,41.9723,9.86298,473.77,-178.731
0.5,475.237,304.613,15.0636,42.0756,5.16508,-234.895,-178.588
0.52,474.394,304.592,15.9069,42.1635,4.39169,-38.6696,-178.439
0.54,473.551,304.568,16.751,42.2041,2.03338,-117.916,-178.284
0.56,472.703,304.542,17.599,42.4015,9.86692,391.677,-178.119
0.58,471.855,304.512,18.448,42.4497,2.41368,-372.662,-177.951
0.6,471.004,304.481,19.2992,42.5604,5.53043,155.838,-177.772
