"time","x","y","position","velocity","acceleration","jerk","heading"
0,475.106,15.8306,0,0,0,0,-160.346
0.02,474.927,15.7666,0.190352,9.51762,475.881,23794.1,-160.347
0.04,474.748,15.7026,0.380018,9.48329,-1.71634,-23879.9,-160.349
0.06,474.569,15.6387,0.570337,9.51594,1.63234,167.434,-160.35
0.08,474.39,15.5748,0.760656,9.51594,7.12266e-09,-81.6172,-160.351
0.1,474.21,15.5108,0.951264,9.53038,0.721803,36.0901,-160.353
0.12,473.845,15.3806,1.33844,19.3587,491.416,24534.7,-160.359
0.14,473.412,15.2258,1.79869,23.0126,182.694,-15436.1,-160.368
0.16,472.905,15.0452,2.33648,26.8894,193.842,557.418,-160.381
0.18,472.338,14.843,2.93833,30.0929,160.174,-1683.43,-160.399
0.2,471.677,14.6077,3.64055,35.1108,250.895,4536.07,-160.427
0.22,470.958,14.3526,4.40301,38.1229,150.604,-5014.55,-160.462
0.24,470.172,14.0736,5.2373,41.7147,179.591,1449.35,-160.507
0.26,469.311,13.7694,6.15025,45.6476,196.647,852.808,-160.565
0.28,468.376,13.44,7.14216,49.5951,197.373,36.2666,-160.637
0.3,467.365,13.0857,8.21299,53.5416,197.324,-2.41764,-160.727
0.32,466.28,12.7073,9.3618,57.4405,194.948,-118.81,-160.836
0.34,465.13,12.3092,10.579,60.8585,170.896,-1202.6,-160.965
0.36,463.955,11.9055,11.8213,62.1144,62.7988,-5404.86,-161.111
0.38,462.775,11.5035,13.0679,62.3297,10.7645,-2601.71,-161.272
0.4,461.59,11.1037,14.3186,62.5374,10.3856,-18.9453,-161.448
0.42,460.399,10.706,15.5746,62.8019,13.2212,141.779,-161.643
0.44,459.202,10.3112,16.8354,63.0359,11.7018,-75.9696,-161.852
0.46,457.998,9.9194,18.1006,63.2619,11.2986,-20.159,-162.078
0.48,456.79,9.53113,19.3697,63.4552,9.66578,-81.643,-162.319
0.5,455.574,9.14633,20.6455,63.7906,16.7701,355.215,-162.582
0.52,454.353,8.76632,21.9245,63.951,8.0221,-437.399,-162.855
0.54,453.123,8.3906,23.2098,64.2658,15.736,385.697,-163.149
0.56,451.888,8.01991,24.4993,64.472,10.3146,-271.071,-163.46
0.58,450.647,7.65495,25.7929,64.6789,10.3409,1.31527,-163.785
0.6,449.398,7.29541,27.0934,65.0264,17.376,351.751,-164.134
0.62,448.141,6.94265,28.3986,65.2599,11.6771,-284.943,-164.496
0.64,446.877,6.5963,29.7094,65.5399,13.9994,116.114,-164.881
0.66,445.605,6.25754,31.0251,65.7838,12.1934,-90.2976,-165.28
0.68,444.328,5.9265,32.3451,66.0009,10.8585,-66.744,-165.698
0.7,443.042,5.60391,33.6705,66.2698,13.4417,129.157,-166.132
0.72,441.749,5.28989,35.0014,66.5477,13.8976,22.7955,-166.586
0.74,440.448,4.98538,36.3372,66.7867,11.9497,-97.3974,-167.054
0.76,439.142,4.69065,37.6763,66.9578,8.55222,-169.872,-167.538
